Entity,Code,Date,total_vaccinations_per_hundred
Albania,ALB,2021-01-10,0
Albania,ALB,2021-01-12,0
Albania,ALB,2021-01-13,0.01
Albania,ALB,2021-01-14,0.01
Albania,ALB,2021-01-15,0.01
Albania,ALB,2021-01-16,0.01
Albania,ALB,2021-01-17,0.01
Albania,ALB,2021-01-18,0.02
Albania,ALB,2021-01-19,0.02
Albania,ALB,2021-01-20,0.02
Albania,ALB,2021-01-21,0.02
Albania,ALB,2021-02-02,0.02
Albania,ALB,2021-02-09,0.04
Albania,ALB,2021-02-17,0.06
Albania,ALB,2021-02-18,0.11
Algeria,DZA,2021-01-29,0
Algeria,DZA,2021-01-30,0
Andorra,AND,2021-01-25,0.75
Andorra,AND,2021-02-01,1.34
Andorra,AND,2021-02-10,1.67
Andorra,AND,2021-02-12,2.1
Anguilla,AIA,2021-02-04,0
Anguilla,AIA,2021-02-13,8.94
Argentina,ARG,2020-12-29,0
Argentina,ARG,2020-12-31,0.07
Argentina,ARG,2021-01-04,0.09
Argentina,ARG,2021-01-08,0.24
Argentina,ARG,2021-01-13,0.37
Argentina,ARG,2021-01-15,0.44
Argentina,ARG,2021-01-20,0.55
Argentina,ARG,2021-01-21,0.59
Argentina,ARG,2021-01-22,0.62
Argentina,ARG,2021-01-23,0.64
Argentina,ARG,2021-01-24,0.65
Argentina,ARG,2021-01-25,0.65
Argentina,ARG,2021-01-26,0.68
Argentina,ARG,2021-01-27,0.7
Argentina,ARG,2021-01-28,0.73
Argentina,ARG,2021-01-29,0.76
Argentina,ARG,2021-01-30,0.81
Argentina,ARG,2021-02-01,0.83
Argentina,ARG,2021-02-03,0.88
Argentina,ARG,2021-02-04,0.98
Argentina,ARG,2021-02-06,1.04
Argentina,ARG,2021-02-07,1.11
Argentina,ARG,2021-02-08,1.13
Argentina,ARG,2021-02-09,1.14
Argentina,ARG,2021-02-10,1.18
Argentina,ARG,2021-02-11,1.27
Argentina,ARG,2021-02-12,1.31
Argentina,ARG,2021-02-13,1.34
Argentina,ARG,2021-02-14,1.35
Argentina,ARG,2021-02-15,1.35
Argentina,ARG,2021-02-16,1.35
Argentina,ARG,2021-02-17,1.35
Argentina,ARG,2021-02-18,1.41
Austria,AUT,2021-01-13,0.24
Austria,AUT,2021-01-14,0.52
Austria,AUT,2021-01-15,0.75
Austria,AUT,2021-01-16,0.84
Austria,AUT,2021-01-17,0.91
Austria,AUT,2021-01-18,0.99
Austria,AUT,2021-01-19,1.08
Austria,AUT,2021-01-20,1.41
Austria,AUT,2021-01-21,1.7
Austria,AUT,2021-01-22,1.82
Austria,AUT,2021-01-23,1.87
Austria,AUT,2021-01-24,1.9
Austria,AUT,2021-01-25,1.97
Austria,AUT,2021-01-26,2.08
Austria,AUT,2021-01-27,2.13
Austria,AUT,2021-01-28,2.2
Austria,AUT,2021-01-29,2.32
Austria,AUT,2021-01-30,2.45
Austria,AUT,2021-01-31,2.5
Austria,AUT,2021-02-01,2.53
Austria,AUT,2021-02-02,2.68
Austria,AUT,2021-02-03,2.81
Austria,AUT,2021-02-04,2.91
Austria,AUT,2021-02-05,3.08
Austria,AUT,2021-02-06,3.16
Austria,AUT,2021-02-07,3.22
Austria,AUT,2021-02-08,3.31
Austria,AUT,2021-02-09,3.46
Austria,AUT,2021-02-10,3.66
Austria,AUT,2021-02-11,3.81
Austria,AUT,2021-02-12,4.06
Austria,AUT,2021-02-13,4.09
Austria,AUT,2021-02-14,4.15
Austria,AUT,2021-02-15,4.47
Austria,AUT,2021-02-16,4.64
Austria,AUT,2021-02-17,4.94
Austria,AUT,2021-02-18,5.17
Azerbaijan,AZE,2021-01-17,0
Azerbaijan,AZE,2021-02-06,0.64
Bahrain,BHR,2020-12-23,2.29
Bahrain,BHR,2020-12-24,2.94
Bahrain,BHR,2020-12-25,2.97
Bahrain,BHR,2020-12-26,3.03
Bahrain,BHR,2020-12-27,3.15
Bahrain,BHR,2020-12-28,3.23
Bahrain,BHR,2020-12-29,3.29
Bahrain,BHR,2020-12-30,3.37
Bahrain,BHR,2020-12-31,3.45
Bahrain,BHR,2021-01-01,3.49
Bahrain,BHR,2021-01-02,3.53
Bahrain,BHR,2021-01-03,3.57
Bahrain,BHR,2021-01-04,3.62
Bahrain,BHR,2021-01-05,3.75
Bahrain,BHR,2021-01-06,4.02
Bahrain,BHR,2021-01-07,4.25
Bahrain,BHR,2021-01-08,4.6
Bahrain,BHR,2021-01-09,4.95
Bahrain,BHR,2021-01-10,5.25
Bahrain,BHR,2021-01-11,5.44
Bahrain,BHR,2021-01-12,5.75
Bahrain,BHR,2021-01-13,5.96
Bahrain,BHR,2021-01-14,6.44
Bahrain,BHR,2021-01-15,7.22
Bahrain,BHR,2021-01-16,8.06
Bahrain,BHR,2021-01-17,8.32
Bahrain,BHR,2021-01-18,8.39
Bahrain,BHR,2021-01-19,8.44
Bahrain,BHR,2021-01-20,8.47
Bahrain,BHR,2021-01-26,9.75
Bahrain,BHR,2021-01-27,9.86
Bahrain,BHR,2021-01-28,9.96
Bahrain,BHR,2021-01-29,9.98
Bahrain,BHR,2021-01-30,10.02
Bahrain,BHR,2021-01-31,10.08
Bahrain,BHR,2021-02-01,10.16
Bahrain,BHR,2021-02-02,10.23
Bahrain,BHR,2021-02-03,10.29
Bahrain,BHR,2021-02-04,10.42
Bahrain,BHR,2021-02-05,10.55
Bahrain,BHR,2021-02-06,10.73
Bahrain,BHR,2021-02-07,11.25
Bahrain,BHR,2021-02-08,11.82
Bahrain,BHR,2021-02-09,12.51
Bahrain,BHR,2021-02-10,12.91
Bahrain,BHR,2021-02-11,13.22
Bahrain,BHR,2021-02-12,13.67
Bahrain,BHR,2021-02-13,14.24
Bahrain,BHR,2021-02-14,14.62
Bahrain,BHR,2021-02-15,14.75
Bahrain,BHR,2021-02-16,14.87
Bahrain,BHR,2021-02-17,15.14
Bahrain,BHR,2021-02-18,15.48
Bangladesh,BGD,2021-01-26,0
Bangladesh,BGD,2021-01-27,0
Bangladesh,BGD,2021-01-28,0
Bangladesh,BGD,2021-02-07,0.02
Bangladesh,BGD,2021-02-09,0.11
Bangladesh,BGD,2021-02-10,0.21
Bangladesh,BGD,2021-02-13,0.45
Bangladesh,BGD,2021-02-14,0.55
Bangladesh,BGD,2021-02-15,0.69
Bangladesh,BGD,2021-02-16,0.83
Bangladesh,BGD,2021-02-17,0.96
Bangladesh,BGD,2021-02-18,1.12
Barbados,BRB,2021-02-15,1.56
Barbados,BRB,2021-02-16,2.33
Barbados,BRB,2021-02-17,3.17
Belgium,BEL,2020-12-28,0
Belgium,BEL,2020-12-29,0
Belgium,BEL,2020-12-30,0.01
Belgium,BEL,2020-12-31,0.01
Belgium,BEL,2021-01-01,0.01
Belgium,BEL,2021-01-05,0.02
Belgium,BEL,2021-01-06,0.05
Belgium,BEL,2021-01-07,0.12
Belgium,BEL,2021-01-08,0.2
Belgium,BEL,2021-01-09,0.23
